Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Area µm^2,Perimeter µm
MDB0000531-P1-11-s40.tif,45d7d1db-31d8-405f-bc68-7322e346c5ec,Annotation,,,Root object (Image),Geometry,2072975.1,3194889.6,16337231089579.2,276566161.5
MDB0000531-P1-11-s40.tif,410d5035-ed66-4521-8fb3-8292f5ed20cb,Annotation,,Germ Cells,Annotation,Geometry,2110514.2,3171310,4611690018564.6,1703791799.3
MDB0000531-P1-11-s40.tif,6627808c-1a52-40a3-ac3b-eb08750cfee5,Annotation,,Stroma,Annotation,Geometry,2058207.9,3204164.1,11725540518219.2,1964099298.3
MDB0000531-P1-11-s40.tif,fce22653-0114-4674-8983-a716f6869ef2,Annotation,,Background,Root object (Image),Geometry,314646,474934.1,647294332689.3,4198068.7
MDB0000531-P1-11-s40.tif,5bbe149c-d1d0-4dd8-a01c-9a094630319f,Annotation,,Background,Annotation (Background),Geometry,314646,474934.1,647294332689.3,4198068.7
MDB0000531-P1-11-s40.tif,e098c67a-170d-4030-924c-7aa9af532bd1,Annotation,,Background,Root object (Image),Geometry,477061.4,6114943.9,1325130115532.9,6782808.2
MDB0000531-P1-11-s40.tif,20b23571-55be-4200-8f13-8c72ca2ecb83,Annotation,,Background,Annotation (Background),Geometry,477061.4,6114943.9,1325130115532.9,6782808.2
MDB0000531-P1-11-s40.tif,e39679a9-2051-4a56-a7bd-544938e4784b,Annotation,,Germ Cells,Root object (Image),Polygon,684580.4,2761363.6,1244283926.3,126557.9
MDB0000531-P1-11-s40.tif,775933e6-8bbd-48da-aa37-46018af930b3,Annotation,,Stroma,Annotation (Germ Cells),Geometry,688156.6,2755561.3,248011415.1,309055.1
MDB0000531-P1-11-s40.tif,4884d1b1-20a9-4b72-8b92-e7d317489cea,Annotation,,Germ Cells,Annotation (Germ Cells),Geometry,683690.4,2762807.4,996273760.7,313762.4
MDB0000531-P1-11-s40.tif,5cfdf154-eceb-4f4c-970e-a8cf6598b212,Annotation,,Germ Cells,Root object (Image),Polygon,792342.2,2781047.1,1153517257,122266.1
MDB0000531-P1-11-s40.tif,85937505-cefc-4824-8550-ee8a419b76e8,Annotation,,Stroma,Annotation (Germ Cells),Geometry,794342.6,2774512.5,89540838,110258.3
MDB0000531-P1-11-s40.tif,61c3a6fe-8755-461e-a01f-1b3df905faa4,Annotation,,Germ Cells,Annotation (Germ Cells),Geometry,792173.1,2781596.3,1063975876.2,163942
MDB0000531-P1-11-s40.tif,c9224b98-b1be-43e6-bf35-dae1a78b8968,Annotation,,Germ Cells,Root object (Image),Polygon,791927.6,2748531.3,1150984503.5,121435.2
MDB0000531-P1-11-s40.tif,20543bc7-cccb-486c-92a1-0756a95a3d61,Annotation,,Germ Cells,Annotation (Germ Cells),Geometry,792113.1,2748438.8,1124787323.8,162833.6
MDB0000531-P1-11-s40.tif,6639d078-4409-4fd2-a7a2-538a2b12375b,Annotation,,Stroma,Annotation (Germ Cells),Geometry,784020.4,2752502.8,26197179.8,49618.3
MDB0000531-P1-11-s40.tif,f2a77c3d-49e6-43bd-b9fc-399fb795fb4f,Annotation,,Germ Cells,Root object (Image),Polygon,792449.7,2826385.3,1690662327.3,162453
MDB0000531-P1-11-s40.tif,88577a16-6fd6-4438-9755-ab96add6adbe,Annotation,,Stroma,Annotation (Germ Cells),Geometry,796043.1,2814690.4,302280564.3,257620.2
MDB0000531-P1-11-s40.tif,90b37c74-ee73-4de4-a6a6-c63eeca23bde,Annotation,,Germ Cells,Annotation (Germ Cells),Geometry,791668.6,2828932.1,1388378663.8,344422.2
MDB0000531-P1-11-s40.tif,96557a5e-4563-4072-b463-21c32e903ea1,Annotation,,Germ Cells,Root object (Image),Polygon,729679,2659149.7,1036486024.4,114714.3
